2018-12-06 15:50:05,002 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Skor:Skor:0.0.1-SNAPSHOT @ D:\JAVA-JEE-JPA workspace\Skor\pom.xml.
2018-12-06 15:50:05,002 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Skor:Skor:0.0.1-SNAPSHOT @ D:\JAVA-JEE-JPA workspace\Skor\pom.xml.
2018-12-06 15:50:07,523 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:07,532 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-06 15:50:07,544 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:07,545 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\JAVA-JEE-JPA workspace\Skor\src\test\resources
2018-12-06 15:50:09,345 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Skor:Skor:0.0.1-SNAPSHOT @ D:\JAVA-JEE-JPA workspace\Skor\pom.xml.
2018-12-06 15:50:10,496 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:10,503 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-06 15:50:10,516 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:10,517 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\JAVA-JEE-JPA workspace\Skor\src\test\resources
2018-12-06 15:50:47,135 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-12-06 15:50:47,583 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Skor:Skor:0.0.1-SNAPSHOT @ D:\JAVA-JEE-JPA workspace\Skor\pom.xml.
2018-12-06 15:50:47,837 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Skor/src
2018-12-06 15:50:47,838 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Skor/src overlaps with sources folder /Skor/src
2018-12-06 15:50:47,839 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Skor/src/test/java because it overlaps with /Skor/src
2018-12-06 15:50:47,977 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-12-06 15:50:48,655 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:48,656 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-06 15:50:48,665 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:50:48,666 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\JAVA-JEE-JPA workspace\Skor\src\test\resources
2018-12-06 15:51:52,777 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JPA-Project:JPA-Project:0.0.1-SNAPSHOT @ D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\pom.xml.
2018-12-06 15:51:53,042 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JPA - Project/src
2018-12-06 15:51:53,043 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JPA - Project/src overlaps with sources folder /JPA - Project/src
2018-12-06 15:51:53,046 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /JPA - Project/src/test/java because it overlaps with /JPA - Project/src
2018-12-06 15:51:53,140 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-12-06 15:51:53,224 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JPA-Project:JPA-Project:0.0.1-SNAPSHOT @ D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\pom.xml.
2018-12-06 15:51:53,375 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JPA - Project/src
2018-12-06 15:51:53,376 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JPA - Project/src overlaps with sources folder /JPA - Project/src
2018-12-06 15:51:53,379 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /JPA - Project/src/test/java because it overlaps with /JPA - Project/src
2018-12-06 15:51:53,473 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-12-06 15:51:53,730 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:51:53,731 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-06 15:51:53,734 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:51:53,735 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\src\test\resources
2018-12-06 15:52:56,196 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JPA-Project:JPA-Project:0.0.1-SNAPSHOT @ D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\pom.xml.
2018-12-06 15:52:56,364 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:52:56,374 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-06 15:52:56,378 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:52:56,379 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\src\test\resources
2018-12-06 15:52:57,644 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:52:57,646 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-06 15:52:57,650 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 15:52:57,651 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GITHUB\Github Projeler Deposu\JPA-Project\JPA - Project\src\test\resources
